"itemTitle","itemNote","itemCategory","itemLocation","itemTag","itemDateTime","itemPrice1","itemQty","itemPrice2","itemQtyMin","itemTitle1","itemDesc","itemCustomBarcode","itemASIN","itemUPC","itemISBN","itemEAN","itemModel","itemSerial","itemAttachment"
"#1 Plastic Ski Boots","","Ski Boots","","","2015-06-02 17:09","0.0","0","0.0","1.0","Garmont size 38.5","","000001","","","","","","","* 20150512_183329.jpg
* 20150512_183340-resized-1024.jpg"
"#10 Ski Boots","","Ski Boots","","","2015-06-02 18:30","0.0","0","0.0","1.0","Size 42.5","","000010","","","","","","","* 20150512_183804-resized-1024.jpg
* 20150512_183814-resized-1024.jpg"
"#11 Plastic Ski Boots","","Ski Boots","","","2015-06-02 18:33","0.0","0","0.0","1.0","Garmont size 42.5","","000011","","","","","","","* 20150512_183834-resized-1024.jpg
* 20150512_183841-resized-1024.jpg"
"#12 Plastic Ski Boots","","Ski Boots","","","2015-06-02 18:35","0.0","0","0.0","1.0","Garmont size 43","","000012","","","","","","","* 20150512_183857-resized-1024.jpg
* 20150512_183904-resized-1024.jpg"
"#13 Plastic Ski Boots","Bad heel condition","Ski Boots","","","2015-06-02 18:36","0.0","0","0.0","1.0","Garmont size 43","","000013","","","","","","","* 20150512_183927-resized-1024.jpg
* 20150512_183938-resized-1024.jpg"
"#14 Plastic Ski Boots","","Ski Boots","","","2015-06-02 18:39","0.0","0","0.0","1.0","Garmont size 44","","000014","","","","","","","* 20150512_184006-resized-1024.jpg
* 20150512_184017-resized-1024.jpg"
"#15 Plastic Ski Boots","","Ski Boots","","","2015-06-02 18:40","0.0","0","0.0","1.0","Garmont size 44","","000015","","","","","","","* 20150512_184037-resized-1024.jpg
* 20150512_184044-resized-1024.jpg"
"#16 Plastic Ski Boots","","Ski Boots","","","2015-06-02 18:42","0.0","0","0.0","1.0","Garmont size 45","","000016","","","","","","","* 20150512_184106-resized-1024.jpg
* 20150512_184113-resized-1024.jpg"
"#17 Plastic Ski Boots","","Ski Boots","","","2015-06-02 18:47","0.0","0","0.0","1.0","Garmont size 46","","000017","","","","","","","* 20150512_184139-resized-1024.jpg"
"#18 Leather Ski Boots","","Ski Boots","","","2015-07-05 13:30","0.0","0","0.0","0.0","","","000018","","","","","","","* 150705_133035.jpg
* 150705_133049.jpg"
